Assignee,Summary
kohei,fileopen pictures in forty spreadsheets no longer displayed
kohei,fileopen pictures in xls spreadsheets no longer displayed
kohei,run in value is not updated if run in is inserted after
kohei,row value is not updated if row is inserted after
jluth,filesave double lined cell borders get lost due after saving as oculus dexter and reopen
jluth,filesave double lined cell borders get lost due after saving as ods and reopen
jluth,fileopen docx layout messed up with wrong number of pages continuous breaking changed to page breaking
jluth,fileopen docx layout messed up with wrong number of pages continuous break changed to page break 
lionel,cell value in table grid a time control incorrectly displayed
lionel,cell value in table grid a date time control incorrectly displayed
nemeth,fileopen microsoft text in table different width in writer multiple lines and word single line for docx fonts
nemeth,fileopen docx text in table different width in writer multiple lines and word single line for microsoft fonts 
michael.stahl,formatting numbering heel in docx does not continue previous numbering
michael.stahl,formatting numbering list in docx does not continue previous numbering
jluth,formatting spacing above and below a table incorrect in specific doctor file
jluth,formatting spacing above and below a table incorrect in specific doc file
michael.stahl,fileopen crashes on loading a particular doc in windows
michael.stahl,fileopen writer crashes on loading a particular doc document in windows
markus.mohrhard,manage formatting is not able to edit a condition
markus.mohrhard,manage conditional formatting is not able to edit a condition
erack,err in professional but not in lo to
erack,err in master but not in lo to 
jluth,libre office swriter doss down when opening microsot word doc in doc format
jluth,libre office swriter crashes when opening microsot word doc in doc format
jluth,docx file cannot in lost in lo
jluth,filesave docx file cannot be opened in mso numbering lost in lo
Armin.Le.Grand,lines created in draw are not visible when printed windows non only
Armin.Le.Grand,lines created in draw are not visible when printed windows only 
michael.stahl,crash in smash sw getparapropsnode
michael.stahl,crash in sw getparapropsnode
kohei,cells viewing scrolled in show contents of other cells
kohei,viewing cells scrolled in show contents of other cells 
dennisfrancis.in,filesave automatic baptistry color of text not persisted if cell has line break and non automatic baptistry color
dennisfrancis.in,filesave automatic font color of text not persisted if cell has line break and non automatic font color
dennisfrancis.in,editing circular reference causes value error
dennisfrancis.in,editing circular reference causes value error
michael.stahl,adjusting column or row sizes in a writer table causes artifact vitamin a lines
michael.stahl,adjusting column or row sizes in a writer table causes artifact lines
raykowj,new uno commands for zoom in and zoom out document of canvas
raykowj,new uno commands for zoom in and zoom out of document canvas
jluth,filesave saving file in temporary brochure usability issue
jluth,filesave saving file in temporary folder usability issue
kohei,printing after leaving publish page preview with esc particular documents will crash
kohei,printing after leaving print page preview with esc particular documents will crash
markus.mohrhard,editing crash when merge cells move contents and of merged cells is involved in calculation
markus.mohrhard,editing crash when merge cells with move contents and first of merged cells is involved in calculation 
lionel,basic when dataloss
lionel,dataloss when basic
erack,crash libo crashes when paste other formula from a languages
erack,crash libo crashes when paste a formula from other languages
markus.mohrhard,libo crash when creating chart with pick out no cells selected
markus.mohrhard,libo crash when creating chart with no cells selected
serval2412,crash come together ide
serval2412,crash closing ide
markus.mohrhard,fileopen document conditional initialise of type formula is not recognized correctly
markus.mohrhard,fileopen document conditional formatting of type formula is not recognized correctly
michael.stahl,writer ww export libreoffice crashes saving doc with invisible pictures
michael.stahl,writer ww export libreoffice crashes saving doc file with invisible pictures
markus.mohrhard,editing conditional formatting not included in copy paste library paste cell
markus.mohrhard,editing conditional formatting not included in copy paste cell
jluth,a scripting framework error occurred running while the unknown script unknown
jluth,a scripting framework error occurred while running the unknown script unknown 
kohei,crash calc craches when sorting
kohei,crash calc craches when sorting
kohei,function does fill work edit not series autofill
kohei,function does not work edit fill series autofill
kohei,out range exception when inserting deleting rows with absolute reference
kohei,out of range exception when inserting deleting rows with absolute reference
kohei,copy calc paste in writer crashed in mdds
kohei,copy cells from calc and paste in writer makes libreoffice crashed in mdds
kohei,filesave ods files saved with different asian baptistry family in the same cell will brake the archive
kohei,filesave ods files saved with different asian font family in the same cell will brake the archive
momonasmon,lodev calc crashes when you dawn on fx button
momonasmon,lodev calc crashes when you click on fx button
michael.stahl,crash by picture fault when trying to open the contextual menu of a segmentation
michael.stahl,crash by segmentation fault when trying to open the contextual menu of a picture
